Tree ID,Final Tree Height (m),Final Crown Width (m),Final Carbon Stock
1,5.35,1.38,0.69
2,1.77,2.51,-0.942
3,4.68,2.26,0.974
4,4.31,3.26,1.221
5,2.54,3.18,0.081
6,4.46,3.37,1.329
7,0.96,1.24,-3.043
8,5.22,3.49,1.7
9,4.12,3.47,1.194
10,4.11,3.64,1.245
11,1.28,2.44,-1.649
12,4.52,2.89,1.182
13,3.58,2.91,0.701
14,4.59,1.89,0.725
15,4.16,3.48,1.219
16,2.08,2.0,-0.863
17,5.11,3.03,1.491
18,4.86,3.81,1.648
19,2.72,2.82,0.089
20,2.78,3.22,0.29
21,5.32,3.1,1.605
22,1.89,1.77,-1.205
23,2.99,2.83,0.293
24,2.43,2.87,-0.13
25,5.61,2.11,1.274
26,3.51,2.16,0.317
27,2.06,2.48,-0.634
28,0.71,1.13,-3.764
29,2.69,2.25,-0.194
30,4.93,3.07,1.432
31,3.02,2.11,-0.022
32,2.4,2.46,-0.326
33,2.67,2.91,0.084
34,2.74,3.13,0.223
35,3.29,2.41,0.31
36,1.29,1.64,-2.09
37,1.72,2.17,-1.166
38,1.07,1.4,-2.657
39,1.45,3.2,-1.079
40,1.61,2.7,-1.06
41,1.59,2.71,-1.079
42,5.06,4.24,1.855
43,3.42,3.32,0.759
44,4.77,2.35,1.058
45,4.3,2.68,0.991
46,2.48,2.16,-0.404
47,3.07,3.69,0.652
48,1.24,1.97,-1.972
49,0.73,1.62,-3.287
50,3.61,2.34,0.467
51,1.47,3.12,-1.088
52,3.16,3.46,0.636
53,4.67,2.26,0.967
54,5.77,3.37,1.871
55,1.08,2.28,-2.091
56,3.42,3.3,0.747
57,1.17,3.29,-1.497
58,3.11,2.13,0.046
59,4.71,2.42,1.063
60,1.94,2.51,-0.748
61,2.47,2.69,-0.165
62,4.96,3.59,1.624
63,1.96,2.86,-0.574
64,2.57,3.3,0.154
65,1.33,1.85,-1.887
66,2.87,2.9,0.237
67,3.38,3.54,0.805
68,2.32,3.04,-0.157
69,3.04,3.4,0.535
70,2.96,3.31,0.448
71,1.78,2.43,-0.972
72,5.05,3.52,1.641
73,4.56,3.03,1.252
74,1.22,1.76,-2.128
75,1.96,2.49,-0.733
